id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. Süd,52.53453732241747,13.402556926822387,Entire home/apt,60,6,120,2018-12-20,3.56,5,251
2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851279221664,13.404552826587466,Private room,17,7,6,2018-10-01,0.92,1,20
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.534996191586714,13.417578665333295,Entire home/apt,90,62,144,2018-10-29,1.24,1,205
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.498854933130026,13.34906453348717,Private room,26,5,26,2018-12-23,0.39,1,331
7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.5431572633131,13.415091104515707,Private room,42,2,206,2019-01-12,1.80,1,29
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.533030768026826,13.416046823956403,Entire home/apt,180,6,6,2018-07-23,0.14,1,34
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.547846407992154,13.405562243722455,Entire home/apt,70,90,23,2018-11-01,0.22,3,198
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051399601544,13.457850238106195,Private room,120,30,0,,,1,365
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479227385915,13.435101853886051,Entire home/apt,90,60,48,2017-12-14,0.46,2,228
17409,Downtown Above The Roofs In Berlin,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.52907092467378,13.412843393984936,Private room,45,3,287,2019-01-09,2.85,1,9
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.495476326623894,13.421821277536653,Entire home/apt,49,5,226,2018-12-09,2.08,1,241
